Industry,GDP at Current Prices (in Crore) - 1950-51,GDP at Current Prices (in Crore) - 1951-52,GDP at Current Prices (in Crore) - 1952-53,GDP at Current Prices (in Crore) - 1953-54,GDP at Current Prices (in Crore) - 1954-55,GDP at Current Prices (in Crore) - 1955-56,GDP at Current Prices (in Crore) - 1956-57,GDP at Current Prices (in Crore) - 1957-58,GDP at Current Prices (in Crore) - 1958-59,GDP at Current Prices (in Crore) - 1959-60,GDP at Current Prices (in Crore) - 1960-61,GDP at Current Prices (in Crore) - 1961-62,GDP at Current Prices (in Crore) - 1962-63,GDP at Current Prices (in Crore) - 1963-64,GDP at Current Prices (in Crore) - 1964-65,GDP at Current Prices (in Crore) - 1965-66,GDP at Current Prices (in Crore) - 1966-67,GDP at Current Prices (in Crore) - 1967-68,GDP at Current Prices (in Crore) - 1968-69,GDP at Current Prices (in Crore) - 1969-70,GDP at Current Prices (in Crore) - 1970-71,GDP at Current Prices (in Crore) - 1971-72,GDP at Current Prices (in Crore) - 1972-73,GDP at Current Prices (in Crore) - 1973-74,GDP at Current Prices (in Crore) - 1974-75,GDP at Current Prices (in Crore) - 1975-76,GDP at Current Prices (in Crore) - 1976-77,GDP at Current Prices (in Crore) - 1977-78,GDP at Current Prices (in Crore) - 1978-79,GDP at Current Prices (in Crore) - 1979-80,GDP at Current Prices (in Crore) - 1980-81,GDP at Current Prices (in Crore) - 1981-82,GDP at Current Prices (in Crore) - 1982-83,GDP at Current Prices (in Crore) - 1983-84,GDP at Current Prices (in Crore) - 1984-85,GDP at Current Prices (in Crore) - 1985-86,GDP at Current Prices (in Crore) - 1986-87,GDP at Current Prices (in Crore) - 1987-88,GDP at Current Prices (in Crore) - 1988-89,GDP at Current Prices (in Crore) - 1989-90,GDP at Current Prices (in Crore) - 1990-91,GDP at Current Prices (in Crore) - 1991-92,GDP at Current Prices (in Crore) - 1992-93,GDP at Current Prices (in Crore) - 1993-94,GDP at Current Prices (in Crore) - 1994-95,GDP at Current Prices (in Crore) - 1995-96,GDP at Current Prices (in Crore) - 1996-97,GDP at Current Prices (in Crore) - 1997-98,GDP at Current Prices (in Crore) - 1998-99,GDP at Current Prices (in Crore) - 1999-2000,GDP at Current Prices (in Crore) - 2000-01,GDP at Current Prices (in Crore) - 2001-02,GDP at Current Prices (in Crore) - 2002-03,GDP at Current Prices (in Crore) - 2003-04,GDP at Current Prices (in Crore) - 2004-05,GDP at Current Prices (in Crore) - 2005-06,GDP at Current Prices (in Crore) - 2006-07,GDP at Current Prices (in Crore) - 2007-08,GDP at Current Prices (in Crore) - 2008-09,GDP at Current Prices (in Crore) - 2009-10,GDP at Current Prices (in Crore) - 2010-11,GDP at Current Prices (in Crore) - 2011-12,GDP at Current Prices (in Crore) - 2012-13,GDP at Current Prices (in Crore) - 2013-14(PE)
"Agriculture, Forestry & Fishing",5262,5419,5212,5707,4926,4786,6038,5931,6830,6896,7286,7590,7754,9086,11020,11057,12832,15945,16582,18061,18670,19160,21111,27695,30521,30321,31118,36770,38087,39898,49936,56675,61471,72425,78127,83559,90060,100011,122363,135871,157417,181992,203547,235686,271082,293708,350693,373640,427678,455303,460608,498619,485080,544667,565427,637772,722984,836518,943204,1083514,1319686,1499098,1644926,1906348
Mining & Quarrying,75,84,86,87,91,93,113,131,141,150,178,188,225,243,257,297,322,375,400,445,466,489,527,602,858,1091,1248,1380,1501,1872,2334,4162,5136,5754,6473,6923,8071,8453,11053,12198,13816,15141,17461,20309,22907,25542,28001,33777,36062,41725,45868,48055,62982,64121,85028,94462,106787,124812,139828,159304,204866,222716,222416,222652
Manufacturing,1110,1233,1165,1317,1361,1392,1652,1758,1881,2099,2429,2681,2965,3373,3701,3935,4301,4612,4992,5709,6237,6938,7712,9347,11998,12473,13750,15436,17767,20816,22731,26731,29025,34268,38379,42545,47114,53455,62853,75572,86615,93878,109092,126206,155531,194462,221208,231157,252487,271254,306297,318496,348534,391191,453225,521669,634828,732720,818322,922151,1072489,1236182,1320907,1350039
"Electricity, Gas & Water Supply",24,30,31,33,36,42,49,60,70,83,95,108,126,149,178,201,252,292,348,414,469,511,553,597,768,939,1245,1423,1700,1964,2271,2638,3119,3685,4455,5382,6121,6871,7992,9560,11489,14067,17764,20941,26273,30612,33037,38842,48062,46525,48129,49692,56993,59264,62675,69107,76153,83830,91070,113883,119560,135670,157132,203049
Construction,267,305,284,285,316,394,445,409,472,526,680,713,751,860,1020,1173,1382,1617,1753,1957,2071,2278,2483,2559,2803,3502,4144,4814,4940,4985,6487,7411,8403,9660,11334,13228,15220,18044,21040,24416,29656,33332,38031,42012,48278,56789,64648,80297,95056,109213,119897,129390,144894,168386,228855,268634,322429,388908,451034,500458,571535,689798,759990,818432
"Trade, Hotels & Restaurant",638,678,689,736,748,763,892,959,1045,1156,1304,1387,1495,1699,2076,2248,2668,3086,3172,3423,3796,4124,4563,5655,7611,8639,8991,10263,10950,12920,15897,19432,21641,25013,29063,33822,37498,41756,49304,57815,67591,76984,89800,105431,126120,155146,182987,207459,235888,262993,290704,324013,359353,409053,477303,566929,675347,783247,895397,1010232,1250472,1457565,1615865,2509907
"Transport, Storage & Communication",374,421,414,432,455,485,545,636,696,711,763,845,962,1048,1136,1231,1365,1513,1727,1855,1980,2155,2396,2530,3032,3549,4327,4781,5501,5701,6110,7545,9144,10753,12138,14278,16877,20312,24004,27991,32924,38791,46635,55688,66140,76206,90577,106253,123463,137658,152465,167940,184338,215341,250417,279677,323032,366797,415448,471391,529158,614707,708830,NA
"Financing, Insurance, Real Estate & Business Services",1329,1428,1511,1628,1744,1870,2022,2167,2320,2490,2681,2736,3135,3390,3679,3972,4251,4659,4985,5343,5805,6355,6942,7709,8638,9729,10781,11747,12669,13807,15300,18010,20651,23640,27185,31144,35715,40815,47387,55741,65065,79184,88004,105998,119567,143357,158219,180029,210008,260522,282316,321543,360193,402509,437174,493102,586595,691464,845369,964937,1165243,1381524,1617076,1939482
"Community, Social & Personal Services",1141,1189,1231,1281,1310,1387,1456,1529,1620,1787,2017,2180,2366,2612,2959,3288,3678,4115,4428,4824,5321,5900,6460,7262,9123,10262,11312,12313,13545,15152,17455,19830,23042,26246,30217,34197,39352,45649,52969,60752,70050,81399,94582,106247,118879,140422,166829,193365,236273,273013,294459,317513,341496,371288,411361,459151,505121,573790,703894,883033,1015850,1154431,1341734,1522898
GDP at Market Prices,10401,11054,10850,11810,11170,11371,13547,13951,15551,16384,17942,19010,20429,23462,27367,28857,32669,38261,40512,44605,47638,50999,56214,68420,80770,86707,93422,105848,114647,125729,149642,175805,196644,229021,256611,289524,323949,368211,436893,501928,586212,673875,774545,891355,1045590,1226725,1419277,1572394,1803378,2023130,2177413,2355845,2536327,2841503,3242210,3693369,4294706,4987090,5630063,6477827,7784115,9009722,10113281,11355073
